Title,Actors,Directors,Genre,IMDb_Rating,Plot,Poster_Image,Link
The Heavenly Idol,"['Kim Min-kyu', 'Go Bo-gyeol', 'Lee Jang-woo']","['Lee So-yoon', 'Park So-yeon']","['Fantasy', 'Romantic comedy']",6.4,"A fantasy-romance drama about an unknown idol, Woo Yeon-woo, whose body was possessed by Rembrary, the god of this world.  A fantasy-romance drama about an unknown idol, Woo Yeon-woo, whose body was possessed by Rembrary, the god of this world. ",https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/The_Heavenly_Idol.jpg/250px-The_Heavenly_Idol.jpg,https://en.wikipedia.org/wiki/The_Heavenly_Idol
The Hymn of Death,"['Lee Jong-suk', 'Shin Hye-sun']",['Park Soo-jin'],"['Historical', 'Romance', 'Tragedy', 'Melodrama']",7.6,"Kim Woo-Jin is a stage drama writer while Korea is under Japanese occupation. He is already married, but he falls in love with Yun Sim-Deok. Yun Sim-Deok is the first Korean soprano. Kim Woo-Jin and Yun Sim-Deok's fate ends tragically.   Kim Woo-Jin is a stage drama writer while Korea is under Japanese occupation. He is already married, but he falls in love with Yun Sim-Deok. Yun Sim-Deok is the first Korean soprano. Kim Woo-Jin and Yun Sim-Deok's fate ends tragically. ",https://upload.wikimedia.org/wikipedia/en/thumb/9/98/The_Hymn_of_Death.jpg/220px-The_Hymn_of_Death.jpg,https://en.wikipedia.org/wiki/The_Hymn_of_Death
The Idle Mermaid,"['Jo Bo-ah', 'On Joo-wan', 'Song Jae-rim', 'Park Ji-soo']",['Baek Seung-ryong'],"['Romance', 'Comedy', 'Fantasy']",6.4,"Mermaid princess Ha Ni falls for Shi Kyung and becomes human, moving into In Gyeo House, a residence for job seekers. To stay human permanently, she must make Shi Kyung love her in 100 days.  Mermaid princess Ha Ni falls for Shi Kyung and becomes human, moving into In Gyeo House, a residence for job seekers. To stay human permanently, she must make Shi Kyung love her in 100 days. ",https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/SurplusPrincess-poster.jpg/220px-SurplusPrincess-poster.jpg,https://en.wikipedia.org/wiki/The_Idle_Mermaid
The Impossible Heir,"['Lee Jae-wook', 'Lee Jun-young', 'Hong Su-zu']","['Min Yeon-hong', 'Lee Hyang-bong']","['Revenge drama', 'Workplace', 'Thriller']",6.4,Depicts the power struggle of chaebol families. An exciting confrontation between a dirt spoon and a gold spoon unfolds.  Depicts the power struggle of chaebol families. An exciting confrontation between a dirt spoon and a gold spoon unfolds. ,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/The_Impossible_Heir_poster.png/250px-The_Impossible_Heir_poster.png,https://en.wikipedia.org/wiki/The_Impossible_Heir
The Innocent Man (South Korean TV series),"['Song Joong-ki', 'Moon Chae-won', 'Park Si-yeon']","['Kim Jin-won', 'Lee Na-jeong']","['Melodrama', 'Romance']",7.6,"Medical student Kang Ma-Ru is framed for a crime. Seeking revenge, he uses Seo Eun-Gi but realizes there are more important things in life.  Medical student Kang Ma-Ru is framed for a crime. Seeking revenge, he uses Seo Eun-Gi but realizes there are more important things in life. ",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Main_Poster_for_The_Innocent_Man.jpg/220px-Main_Poster_for_The_Innocent_Man.jpg,https://en.wikipedia.org/wiki/The_Innocent_Man_(South_Korean_TV_series)
The Interest of Love,"['Yoo Yeon-seok', 'Moon Ka-young', 'Keum Sae-rok', 'Jung Ga-ram']",['Jo Young-min'],"['Melodrama', 'Romance', 'Workplace']",6.5,Four men and women working at the same bank get entangled in a complicated romance as they discover how far they're willing to go for love.  Four men and women working at the same bank get entangled in a complicated romance as they discover how far they're willing to go for love. ,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/The_Interest_of_Love_poster.jpg/220px-The_Interest_of_Love_poster.jpg,https://en.wikipedia.org/wiki/The_Interest_of_Love
The Jingbirok: A Memoir of Imjin War,"['Kim Sang-joong', 'Kim Tae-woo']","['Kim Sang-hwi', 'Kim Young-jo']","['Historical', 'War']",7.8,"Based on the memoir ""Jingbirok"" , written in 1604 by Joseon scholar Ryu Seong-ryong (1542-1607), who served as prime minister of the Joseon Kingdom (1392-1910) during the seven-year Imjin War (1592-1598). ""Jingbirok"" (Book of Corrections) is the name of Ryu's memoir, which looks ... Read all   Based on the memoir ""Jingbirok"" , written in 1604 by Joseon scholar Ryu Seong-ryong (1542-1607), who served as prime minister of the Joseon Kingdom (1392-1910) during the seven-year Imjin War (1592-1598). ""Jingbirok"" (Book of Corrections) is the name of Ryu's memoir, which looks ... Read all Read all  ",No image,https://en.wikipedia.org/wiki/The_Jingbirok:_A_Memoir_of_Imjin_War
The Judge from Hell,"['Park Shin-hye', 'Kim Jae-young']",['Park Jin-pyo'],"['Dark fantasy', 'Action', 'Legal thriller']",7.8,"Kang Bit Na, an elite judge with a beautiful appearance, is a demon whose mission is to punish those who have wronged others and send them to Hell. However, the righteous Detective Han Da On is determined to change her ways.   Kang Bit Na, an elite judge with a beautiful appearance, is a demon whose mission is to punish those who have wronged others and send them to Hell. However, the righteous Detective Han Da On is determined to change her ways. ",https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/The_Judge_from_Hell_poster.png/250px-The_Judge_from_Hell_poster.png,https://en.wikipedia.org/wiki/The_Judge_from_Hell
The K2,"['Ji Chang-wook', 'Song Yoon-ah', 'Im Yoon-ah', 'Jo Sung-ha', 'Kim Kap-soo']","['Kwak Jung-hwan', 'Sung Yong-il']","['Action', 'Melodrama', 'Political thriller']",7.8,"A highly trained special ops agent goes off the grid after being framed for murder, and is hired as a bodyguard when the powerful and influential father of a troubled girl sees his skills.  A highly trained special ops agent goes off the grid after being framed for murder, and is hired as a bodyguard when the powerful and influential father of a troubled girl sees his skills. ",https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/The_K2_%28%EB%8D%94_%EC%BC%80%EC%9D%B4%ED%88%AC%29.jpg/220px-The_K2_%28%EB%8D%94_%EC%BC%80%EC%9D%B4%ED%88%AC%29.jpg,https://en.wikipedia.org/wiki/The_K2
The Kidnapping Day,"['Yoon Kye-sang', 'Park Sung-hoon', 'Jeon Yu-na', 'Kim Shin-rok']",['Park You-young'],"['Thriller', 'Mystery', 'Black comedy', 'Action']",8,"In dire need of money to pay for his daughter's hospital bills, Myeong-jun decides to kidnap a girl named Ro-hee in exchange for a ransom from her rich parents.  In dire need of money to pay for his daughter's hospital bills, Myeong-jun decides to kidnap a girl named Ro-hee in exchange for a ransom from her rich parents. ",https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/The_Kidnapping_Day.jpg/220px-The_Kidnapping_Day.jpg,https://en.wikipedia.org/wiki/The_Kidnapping_Day
